id,name,mode,lat,lon,live_crowding_percentage,live_data_available,day_of_week,last_updated
940GZZLUVIC,Victoria Underground Station,tube,51.496359,-0.143102,53.97,True,WED,18:01
940GZZLUVXL,Vauxhall Underground Station,tube,51.485743,-0.124204,42.68,True,WED,18:01
940GZZLUWAF,Watford Underground Station,tube,51.657446,-0.417377,7.89,True,WED,18:01
940GZZLUWBN,West Brompton Underground Station,tube,51.487268,-0.195599,23.22,True,WED,18:01
940GZZLUWCY,White City Underground Station,tube,51.511959,-0.224297,31.68,True,WED,18:01
940GZZLUWFN,West Finchley Underground Station,tube,51.609426,-0.188362,5.69,True,WED,18:01
940GZZLUWHM,West Ham Underground Station,tube,51.528136,0.005055,55.51,True,WED,18:01
940GZZLUWHP,West Hampstead Underground Station,tube,51.546638,-0.191059,37.42,True,WED,18:01
940GZZLUWHW,West Harrow Underground Station,tube,51.57971,-0.3534,14.31,True,WED,18:01
940GZZLUWIG,Willesden Green Underground Station,tube,51.549146,-0.221537,16.85,True,WED,18:01
940GZZLUWIM,Wimbledon Underground Station,tube,51.421207,-0.206573,16.58,True,WED,18:01
940GZZLUWIP,Wimbledon Park Underground Station,tube,51.434573,-0.199719,19.2,True,WED,18:01
940GZZLUWJN,Willesden Junction Underground Station,tube,51.532259,-0.244283,,False,,
